Variables:	shot	t1	t2
Type:	Long	Float	Float
Data:	1080501016	0.6	1.4
Data:	1080501017	0.6	1.4
Data:	1080501018	0.6	1.4
Data:	1080501035	0.7	1.45
Data:	1080501036	0.7	1.4
Data:	1080514003	0.5	1.5
Data:	1080514004	0.55	1.5
Data:	1080514005	0.5	1.5
Data:	1080514006	0.5	1.5
Data:	1080514007	0.5	1.55
Data:	1080514008	0.5	1.55
Data:	1080515020	0.6	1.45
Data:	1080515021	0.8	1.5
Data:	1080515022	0.55	1.5
Data:	1080515023	0.5	1.5
Data:	1080515024	0.5	1.5
Data:	1080515025	0.5	1.5
Data:	1080515026	0.5	1.5
Data:	1080515027	0.5	1.5
Data:	1080515030	0.6	1.5
Data:	1080515031	0.6	1.5
Data:	1080516001	0.35	0.7
Data:	1080520004	0.7	1.4
Data:	1080521005	0.75	1.4
Data:	1080521006	0.8	1.4
Data:	1080521007	0.85	1.4
Data:	1080521016	1	1.4
Data:	1080522001	0.4	0.8
Data:	1080523012	0.5	1.35
